,search_id,num_planet,disposition,ror,stellar_mass,ss_gravity,period,duration,transit_epoch
269,KIC 9140402,1,2,0.026777,0.928,4.566,2.494170338,1.1221,2455003.852848
270,KIC 9141746,1,1,0.079893,1.159,4.413,6.491682808,4.301,2455007.633553
271,KIC 9159275,1,0,0.298444,0.843,4.603,3.044770796,10.0134,2455005.01916
272,KIC 9166862,1,1,0.119176,1.153,4.46,3.855603916,3.2179,2455003.6787843
273,KIC 9166870,1,0,0.033907,1.075,4.501,3.855599139,3.183,2455003.67957
274,KIC 11449844,1,1,0.138123,0.973,4.539,38.47876629,5.04169,2454984.852812
275,KIC 8605074,1,0,0.227443,0.989,4.354,37.601661282,8.30604,2455027.713383
276,KIC 8628973,1,1,0.038195,0.983,4.481,3.314947362,1.8007,2455004.313058
277,KIC 8655354,1,0,0.046245,0.825,4.479,6.71969089,3.0231,2455006.35776
278,KIC 8672910,1,1,0.111685,0.844,4.455,39.6431552,6.5292,2455039.596798
279,KIC 8686150,1,0,0.236829,1.233,4.41,51.42598578,16.9422,2455006.535933
280,KIC 8689031,1,1,0.033653,0.806,4.629,21.80451611,3.4097,2455023.49737
281,KIC 8689373,1,1,0.029849,0.869,4.593,10.28194593,3.4366,2455008.33988
282,KIC 8689373,2,1,0.034825,0.869,4.593,18.11993039,4.2309,2455015.61535
283,KIC 8689373,3,1,0.020134,0.869,4.593,3.78402867,1.9012,2454966.28133
284,KIC 8826878,1,1,0.030415,0.816,4.457,5.15448142,3.228,2455004.6389
285,KIC 5897826,1,0,0.105539,1.174,3.999,33.80364366,11.4813,2455035.259731
286,KIC 8883593,1,1,0.032147,0.983,4.531,5.743469797,3.4412,2455007.898924
287,KIC 8951215,1,2,0.036074,1.091,4.45,39.4759093,2.968,2455006.31207
288,KIC 9016295,1,0,0.243941,1.072,4.471,19.974485239,4.23479,2455004.6300909
289,KIC 9077124,1,1,0.035047,1.072,4.47,3.166353562,3.3129,2455003.966145
290,KIC 9097120,1,0,0.436512,0.991,4.503,23.899634407,3.81881,2455021.982797
291,KIC 9466668,1,1,0.015454,0.949,4.221,3.388012244,2.6849,2455003.5336
292,KIC 9466668,2,1,0.015116,0.949,4.221,5.83909761,3.1915,2454965.09261
293,KIC 9466668,3,1,0.011493,0.949,4.221,1.620467654,2.1888,2454965.06388
294,KIC 9466668,4,1,0.016847,0.949,4.221,10.6816951,3.605,2454964.55082
295,KIC 9479273,1,1,0.04092,0.71,4.584,6.104849417,4.6912,2455002.573477
296,KIC 8359498,1,1,0.096067,0.95,4.421,3.578780566,2.91089,2454967.0304187
297,KIC 9171801,1,0,0.269659,0.857,4.552,3.187067566,3.119,2455004.64976
298,KIC 9334289,1,1,0.035356,0.943,4.362,5.826657508,2.9183,2455006.011411
299,KIC 9334289,2,1,0.02227,0.943,4.362,12.41216347,3.739,2454975.54039
300,KIC 9334289,3,1,0.026327,0.943,4.362,18.74649011,3.895,2454980.13074
301,KIC 9347899,1,1,0.040067,0.958,4.22,20.86021229,5.1937,2455013.017757
302,KIC 9347899,2,1,0.038058,0.958,4.22,42.63427848,6.1998,2454974.16954
